AlexaFluor,350,19000,0
AlexaFluor,405,35000,0
AlexaFluor,430,15000,0.55
AlexaFluor,488,73000,0.92
AlexaFluor,514,80000,0
AlexaFluor,532,81000,0.61
AlexaFluor,546,112000,0.79
AlexaFluor,555,155000,0.1
AlexaFluor,568,88000,0.69
AlexaFluor,594,92000,0.66
AlexaFluor,610,144000,0
AlexaFluor,633,159000,0
AlexaFluor,635,140000,0
AlexaFluor,647,270000,0.33
AlexaFluor,660,132000,0.37
AlexaFluor,680,183000,0.36
AlexaFluor,700,205000,0.25
AlexaFluor,750,290000,0.12
AlexaFluor,790,260000,0
ATTO,550,120000,0.8
ATTO,647N,150000,0.65
